Site,BANDDART,BANDSCUL,BLACDACE,BLUECHUB,BLUEGILL,BLUNMINN,BROOTROU,CCHUBSUC,COMMSHIN,CREECHUB,CRESSHIN,CUTLMINN,FALLFISH,FANTDART,GREEDART,GREESUNF,JOHNDART,LONGDACE,MARGMADT,MOTTSCUL,MTREDDAC,NORTHOGS,PUMPSEED,RAINTROU,REDBSUNF,RIVECHUB,ROCKBASS,ROSESHIN,ROSYDACE,SMALBASS,STONROLL,STRISHIN,TESSDART,TORRSUCK,WHITSUCK,YELLBULL
S1,0,0,7,372,0,0,0,0,0,7,82,0,0,19,0,0,26,0,13,0,815,0,0,0,1,0,0,0,32,0,6,0,0,0,69,0
S2,0,0,1,91,4,0,0,1,15,23,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,53,2,0,0
S3,0,0,16,1,2,0,0,0,0,49,0,0,0,19,0,0,0,0,0,0,33,0,0,0,0,0,0,0,22,0,6,0,0,0,15,0
S4,0,0,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
S5,0,0,15,3,0,1,4,0,0,0,1,0,0,4,0,0,0,0,11,34,49,0,0,0,0,0,0,0,62,0,2,0,0,122,3,0
S6,0,2,1,0,0,0,0,0,0,1,16,6,0,0,0,1,0,0,9,0,6,2,0,1,0,0,0,0,19,0,0,0,0,0,0,0
S7,0,0,73,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S8,0,0,97,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S9,5,0,0,0,0,1,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,12,0,0,0,0,37,0,0,6,5,0,0,0,0,0
S10,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,52,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S11,0,0,75,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S12,1,12,12,0,0,0,0,0,0,1,0,0,0,0,12,0,0,0,0,0,0,25,0,0,0,8,63,0,0,0,138,23,0,0,1,0
S13,0,0,121,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S14,0,0,3,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
S15,0,0,4,0,4,0,0,0,0,11,0,0,39,2,0,1,0,1,0,0,47,0,0,0,3,16,0,0,0,0,0,0,0,3,0,1
S16,0,0,16,0,1,0,0,3,0,11,0,2,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,92,0,6,4
S17,0,0,4,0,1,19,0,0,41,7,0,17,7,0,0,1,0,5,3,0,0,1,0,0,49,12,3,0,5,0,0,0,76,0,1,1
S18,0,0,0,29,0,0,0,0,15,0,0,0,47,2,0,0,0,3,22,36,2,0,1,0,0,0,21,0,1,22,88,0,0,36,1,0
S19,0,0,271,31,0,0,0,0,0,0,0,0,0,23,0,0,0,1,0,279,92,0,0,0,0,0,0,0,1,3,78,0,0,199,8,0
S20,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
S21,0,0,35,24,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,71,0,0,0,0,0,0,0,4,0,0,0,0,64,0,0
S22,0,0,3,46,3,0,0,5,1,5,0,0,13,26,0,0,0,0,11,0,0,0,9,0,15,0,0,5,52,0,0,0,22,7,5,0
S23,0,0,65,31,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,34,0,0,0,26,0,0,0
S24,0,0,0,78,0,0,0,0,0,0,47,0,0,5,0,0,0,0,66,0,2,0,0,0,0,0,0,11,18,0,17,0,0,0,2,0
S25,0,0,0,169,44,0,0,0,0,1,8,0,0,23,0,6,3,0,51,0,43,0,0,0,3,0,0,0,22,0,0,0,0,0,0,0
S26,0,0,0,19,36,0,0,2,0,53,0,0,0,0,0,3,14,0,1,0,0,0,14,0,9,0,0,1,1,0,0,0,0,0,21,0
S27,0,0,5,25,0,0,0,0,0,0,0,0,0,25,2,0,1,11,22,0,9,4,0,0,0,0,0,0,19,0,23,0,0,0,5,0
S28,0,0,37,2,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,17,1,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0
S29,7,0,0,0,0,9,0,0,0,22,0,0,0,0,3,0,0,0,0,0,0,28,0,0,0,0,1,0,0,3,5,17,0,0,4,0
S30,0,0,6,0,0,0,0,0,0,0,0,6,0,0,0,0,0,41,0,0,0,0,0,1,0,0,56,0,0,0,0,0,0,0,0,0
S31,0,0,0,11,2,6,0,0,0,0,14,0,0,28,0,0,0,0,0,6,1,0,0,0,18,0,51,0,1,0,65,0,0,0,4,0
S32,0,0,125,0,0,0,0,0,0,0,0,0,0,16,0,0,0,16,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0
S33,0,0,11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
S34,0,8,15,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,15,0,4,0,37,1,0,0,0,0
S35,0,0,0,0,0,0,0,0,31,0,0,0,44,5,0,0,2,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S36,0,0,7,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9,0,0,0,2,0,0,0,3,0,1,0,0,0,9,0
S37,0,0,0,0,0,0,0,0,0,1,0,0,0,18,2,0,0,0,21,0,0,4,0,0,0,23,6,0,0,1,47,4,0,0,4,0
S38,0,0,45,2,0,0,15,0,0,0,0,0,1,21,0,0,0,11,0,17,0,16,0,5,0,0,0,0,72,0,18,0,0,0,1,0
S39,0,0,41,23,0,0,1,0,1,0,0,29,1,5,0,0,0,28,3,16,8,2,0,0,0,3,4,0,36,3,13,0,0,35,0,0
S40,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
S41,0,13,8,0,0,0,0,0,0,2,0,0,1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,6,0,0
S42,0,19,27,0,0,0,4,0,0,0,0,0,0,8,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0
S43,0,31,12,3,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,3,2,29,5,11,0,0,0,0,0
S44,0,0,9,0,0,0,1,0,0,0,0,0,4,12,0,0,0,0,0,0,2,0,0,0,0,0,0,0,84,0,2,0,0,16,0,0
S45,0,0,1,63,0,0,0,0,32,0,0,0,0,2,0,0,0,0,7,2,13,0,0,0,0,0,0,0,4,7,66,0,28,14,29,0
